id,name,price,location,description
1,Điện thoại iPhone 13,20990000,Kệ A1 Dãy 5,Điện thoại Apple iPhone 13 màu đen 128GB
2,Laptop Dell XPS 13,32000000,Kệ B2 Dãy 3,Laptop Dell XPS 13 Core i7 16GB RAM 512GB SSD
3,Tai nghe AirPods Pro,4990000,Kệ A3 Dãy 1,Tai nghe không dây Apple AirPods Pro với hộp sạc MagSafe
4,Samsung Galaxy S22,18990000,Kệ A1 Dãy 6,Điện thoại Samsung Galaxy S22 Ultra 5G 256GB
5,iPad Air,15990000,Kệ B1 Dãy 4,Máy tính bảng iPad Air 10.9 inch WiFi 64GB
6,Màn hình Dell 27 inch,5990000,Kệ C2 Dãy 2,Màn hình Dell UltraSharp 27 inch 4K
7,Chuột Logitech MX Master,2290000,Kệ A4 Dãy 1,Chuột không dây Logitech MX Master 3
8,Bàn phím cơ Keychron,1990000,Kệ A4 Dãy 2,Bàn phím cơ Keychron K2 V2 Hot-swappable
9,Loa JBL Flip 5,2490000,Kệ B3 Dãy 1,Loa Bluetooth JBL Flip 5 chống nước
10,Sạc dự phòng Anker,990000,Kệ A5 Dãy 3,Sạc dự phòng Anker PowerCore 20000mAh 
